image,ground_truth,prediction,CER
image,LABEL,,1.0
test001_1.jpg,B9140BCD,5140BCD,0.19999999999999996
test001_2.jpg,B2407UZO,B2407UZ0,0.125
test001_3.jpg,B2642PKM,B2842PKM,0.125
test002_1.jpg,BG1352AE,BC1352AE,0.125
test003_1.jpg,B2634UZF,B2664UZF,0.125
test003_2.jpg,B1995JVK,B1995JVK,0.0
test004_1.jpg,B9062VEH,9-3027YEH,0.4117647058823529
test005_1.jpg,DD3798KM,DD2798KM,0.125
test006_1.jpg,T1329KC,T-1329-KC,0.125
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1167AAB,0.11111111111111116
test008_2.jpg,AA1997FE,AA-1997FE,0.05882352941176472
test009_1.jpg,H8518NA,HW8018NA,0.19999999999999996
test009_2.jpg,K1649GB,1649,0.2727272727272727
test010_1.jpg,B9416PCN,B9416CPCN,0.05882352941176472
test010_2.jpg,H1147UY,1127UYU,0.2857142857142857
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B9311,0.5
test011_3.jpg,D1204AIG,D1204AIG,0.0
test012_1.jpg,E1887BA,E1887BA,0.0
test013_1.jpg,B1439UZP,B14PUZP,0.19999999999999996
test013_2.jpg,B1128W0S,1L28WOS,0.33333333333333337
test014_1.jpg,B1388DFX,1388DFX,0.06666666666666665
test015_1.jpg,AD1898BT,AD1778BT,0.25
test016_1.jpg,E1517DQ,1617DO,0.3846153846153846
test017_1.jpg,AD8982FS,AD8892FS,0.125
test018_1.jpg,L7603UA,7603-UA,0.1428571428571429
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,B1959WYK,0.0
test020_1.jpg,AG8634EK,AC-836EK,0.375
test020_2.jpg,AD1329PY,AD1328PY,0.125
test021_1.jpg,BA1709DW,1709DW,0.1428571428571429
test021_2.jpg,W1236VZ,W1236VZ,0.0
test022_1.jpg,W1825OZ,1825OZ,0.07692307692307687
test022_2.jpg,L1202UE,L-1202UE,0.06666666666666665
test022_3.jpg,L3823IB,L3823,0.16666666666666663
test023_1.jpg,B1730JLO,1730JLO,0.06666666666666665
test024_1.jpg,B2964TRU,B2964TRU,0.0
test025_1.jpg,S5585LP,5556LP,0.23076923076923073
test025_2.jpg,L2858RR,L288RR,0.07692307692307687
test025_3.jpg,W1185ZO,W185Z0,0.23076923076923073
test025_4.jpg,9840VU,9840VU,0.0
test026_1.jpg,N9652DF,9652DE,0.23076923076923073
test026_2.jpg,L3836ZX,L3886ZX,0.1428571428571429
test027_1.jpg,N1905IG,N1905IG,0.0
test027_2.jpg,B1109CLR,B1109CLR,0.0
test027_3.jpg,L1840AA,1840AA,0.07692307692307687
test028_1.jpg,L1438EO,1488EO,0.23076923076923073
test028_2.jpg,1436AAA,LL1436AA,0.19999999999999996
test029_1.jpg,W1518WF,1618W,0.33333333333333337
test029_2.jpg,G1986N,G1986N,0.0
test029_3.jpg,L1588OO,1608,0.6363636363636364
test029_4.jpg,L1436AAA,LL1366AA,0.25
test030_1.jpg,S8062NF,8026,0.4545454545454546
test030_2.jpg,G1894TE,1894TE,0.07692307692307687
test031_1.jpg,L1560JQ,L1560JQ,0.0
test031_2.jpg,L1568Q0,L1668,0.33333333333333337
test031_3.jpg,L1932AAZ,L1932AAQ,0.125
test032_1.jpg,B2754SKY,B2134SKY,0.25
test032_2.jpg,W1192K,W1192K,0.0
test033_1.jpg,L4561VK,4561VK,0.07692307692307687
test033_2.jpg,L2693GA,L2693GA,0.0
test033_3.jpg,W9847G,W9087G,0.16666666666666663
test033_4.jpg,L1762ABJ,L1762ABJ,0.0
test034_1.jpg,L1811SU,1811SU,0.07692307692307687
test034_2.jpg,W1167V0,W1167VB,0.1428571428571429
test034_3.jpg,S61310CF,S6131ACF,0.125
test034_4.jpg,L2570AAD,L2570AAD,0.0
test035_1.jpg,L9643NN,L9663NN,0.1428571428571429
test035_2.jpg,L5247GI,5247CI,0.23076923076923073
test035_3.jpg,L2498AAM,L2698AAM,0.125
test035_4.jpg,W1696YO,W1696YO,0.0
test036_1.jpg,B1231JJA,1231JJA,0.06666666666666665
test036_2.jpg,B1618UAE,B1618UAE,0.0
test037_1.jpg,L1775V0,1775VO,0.23076923076923073
test037_2.jpg,L300RX,L300RX,0.0
test037_3.jpg,L1879VG,L1879VC,0.1428571428571429
test038_1.jpg,D1523YCN,1623YCN,0.19999999999999996
test038_2.jpg,L1877ACU,1877ACU,0.06666666666666665
test039_1.jpg,L1069VK,1069WK,0.23076923076923073
test040_1.jpg,S1595LL,S165LL,0.23076923076923073
test041_1.jpg,B1231JJA,B1231JJA,0.0
test042_1.jpg,AD1174SF,1174SF,0.1428571428571429
test043_1.jpg,W1898YW,1889WYH,0.4285714285714286
test043_2.jpg,W1470PG,W140,0.2727272727272727
test044_1.jpg,L1930KF,1930KFW,0.1428571428571429
test044_2.jpg,N1004HE,N1004HE,0.0
test045_1.jpg,S1347LJ,1347,0.2727272727272727
test046_1.jpg,L1470ABK,L1470ABK,0.0
test046_2.jpg,L1265MX,L1265MX,0.0
test047_1.jpg,N1524SY,N1524SY,0.0
test047_2.jpg,L1678ACE,L168ACE,0.06666666666666665
test048_1.jpg,L9316BC,9316,0.2727272727272727
test048_2.jpg,W1838AY,1838AY,0.07692307692307687
test049_1.jpg,N1376DE,N1376DE,0.0
test049_2.jpg,N79AP,79AP,0.11111111111111116
test050_1.jpg,L1265OF,L1265OF,0.0
test050_2.jpg,N1095G,1095G,0.09090909090909094
test051_1.jpg,N1718HC,N1718HC,0.0
test052_1.jpg,N6497KS,N679KS,0.23076923076923073
test052_2.jpg,N5235ABX,N523ABX,0.06666666666666665
test052_3.jpg,N4980KJ,NKJK24,0.5384615384615384
test053_1.jpg,N1365AAO,N1365AA0,0.125
test054_1.jpg,N1077AAK,N107AAK,0.06666666666666665
test054_2.jpg,N1084AAO,N1084AAO,0.0
test055_1.jpg,N1610KS,N1610KS,0.0
test056_1.jpg,N924CIA,924CIA,0.07692307692307687
test056_2.jpg,N1623HB,1623HB,0.07692307692307687
test056_3.jpg,L1430HF,L1430HF,0.0
test057_1.jpg,N1342T,N1342T,0.0
test057_2.jpg,N4145AB,H4125AB,0.2857142857142857
test057_3.jpg,N1396AAH,N1396AAH,0.0
test058_1.jpg,N3153ACB,N32153ACB,0.05882352941176472
test058_2.jpg,N5829KJ,5829KJ,0.07692307692307687
test058_3.jpg,N1780JL,1780,0.2727272727272727
test059_1.jpg,W8774PA,W8874PA,0.1428571428571429
test059_2.jpg,B9162FXU,B-9162FXU,0.05882352941176472
